date,title_zh,title_en,source_zh,source_en,isLarge,isHidden,url,image
2025年10月31日,独家对话天翼交通巨有诚：用AI构筑智能交通的'指挥系统',Exclusive Interview with Tianyi Transport's Ju Youcheng: Building an Intelligent Transport 'Command System' with AI,钛媒体,TMTPost,True,False,https://www.tmtpost.com/7743269.html,images/media/2025/news-10-31-1.jpg
2025年10月29日,"独家对话均瑶总裁王均豪：造车""不要卷""，品牌要""慢慢炖""","Exclusive Interview with Junyao President Wang Junhao: Don't Rush into Car Manufacturing, Brands Need 'Slow Stewing'",钛媒体,TMTPost,False,False,https://www.tmtpost.com/7741120.html,images/media/2025/news-10-29-1.jpg
2025年10月28日,"2025全国文旅上市公司上海行：多家文旅龙头业绩增长 加码""文旅+""消费新场景","2025 National Cultural Tourism Listed Companies Shanghai Tour: Leading Companies Report Growth, Expanding 'Culture + Tourism' Consumer Scenarios",第一财经,Yicai,False,False,https://m.yicai.com/video/102884576.html,images/media/2025/news-10-28-1.jpg
2025年10月28日,"文旅产业资本""沪""动热 共享投资上海新机遇——2025全国文旅上市公司上海行活动成功举办","Cultural Tourism Capital Heats Up in Shanghai, Sharing New Investment Opportunities — 2025 National Cultural Tourism Listed Companies Shanghai Tour Successfully Held",上海证券报,Shanghai Securities News,False,False,https://m.cnstock.com/commonDetail/567426?timestap=1761661498720,images/media/2025/news-10-28-2.jpg
2025年10月27日,他们跑出了湖大人的速度与激情！,They Showcased Hunan University's Speed and Passion!,湖南大学公众号,Hunan University Official Account,False,False,https://mp.weixin.qq.com/s/vllXWmBGxsRZ8UQZD6tyoQ,images/media/2025/news-10-27-1.jpg
2025年10月23日,"攻坚克难 季军荣归——我校""智翼人工智能战队""荣获Hitch Open世界AI竞速锦标赛季军","Overcoming Challenges, Third Place Glory — Our University's 'Zhiyi AI Team' Wins Third Place at Hitch Open World AI Racing Championship",吉林大学官方新闻,Jilin University Official News,True,False,https://auto.jlu.edu.cn/info/1113/8317.htm,images/media/2025/news-10-23-1.jpg
2025年10月22日,"在""99道弯""天路上　清华大学队斩获AI竞速锦标赛冠军",On the 99-Bend Road to Heaven: Tsinghua University Team Wins AI Racing Championship,中国网,China.com.cn,False,True,http://ydyl.china.com.cn/2025-10/20/content_118133048.shtml,images/media/2025/news-10-22-1.jpg
2025年10月20日,全球首个！AI赛车决战天门山99弯极限山路,World's First! AI Racing Cars Battle Tianmen Mountain's 99-Bend Extreme Mountain Road,芒果tv,Mango TV,False,True,https://www.mgtv.com/b/715001/23646306.html?f=m_wx&dc=6D425BC0-834C-4783-98CC-EADEBA39E57E,images/media/2025/news-10-20-1.jpg
2025年10月20日,Hitch Open世界AI竞速锦标赛总决赛圆满收官 物理智能加速落地中国,Hitch Open World AI Racing Championship Grand Final Concludes Successfully; Physical Intelligence Accelerates in China,搜狐,Sohu,False,True,https://www.sohu.com/a/945520174_121641403,images/media/2025/news-10-20-2.jpg
2025年10月20日,"""云""上竞速 驶向""未来""——世界AI竞速锦标赛总决赛在湖南张家界落幕","Racing on the 'Cloud' Towards the 'Future' — World AI Racing Championship Grand Final Concludes in Zhangjiajie, Hunan",中央广电总台国际在线,China Radio International,False,True,https://news.cri.cn/2025-10-20/3e28acea-49ff-dbf2-fc46-8a1a604c2573.html,images/media/2025/news-10-20-3.jpg
